Prozessschritt,Hersteller,Beschreibung,Leistung,Einheit,Durchsatzleistung,Einheit2,Emissionen,Einheit3,Strommix Deutschland,Einheit42,Andere Betriebsmittel,Über-Kategorie,Unter-Kategorie,Kunststoffe,Kommentare,Quellen,,,
Label-Entferner,KWELL,TBJ-3000,30,kW,3000,kg/h,0.00366,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Trennen,Label Entferner,,,https://kwellgroup.en.made-in-china.com/product/tCBJPDZOEphl/China-Automatic-High-Speed-Pet-Bottle-Label-Removing-Machine-Remover.html,,,
Label-Entferner,AMUT,DLB-10,22,kW,1000,kg/h,0.008052,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Trennen,Label Entferner,,,https://plasticker.de/Kunststoff_News_22840_Amut_Neue_Anlage_zur_automatischen_Entfernung_von_Etiketten,,,
Label-Entferner,AMUT,DLB-30,110,kW,3000,kg/h,0.01342,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Trennen,Label Entferner,,,https://plasticker.de/Kunststoff_News_22840_Amut_Neue_Anlage_zur_automatischen_Entfernung_von_Etiketten,,,
Label-Entferner,AMUT,DLB-60,150,kW,6000,kg/h,0.00915,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Trennen,Label Entferner,,,https://plasticker.de/Kunststoff_News_22840_Amut_Neue_Anlage_zur_automatischen_Entfernung_von_Etiketten,,,
Einwellenschredder,HERBOLD,EWS 60/210,264,kW,6000,kg/h,0.016104,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Zerkleinern,Einwellenschredder,,,https://www.herbold.com/wp-content/uploads/pdf/datenblaetter-2019/70-Einwellenshredder-60210/Herbold-Meckesheim-Infoblatt-Einwellenshredder_DE.pdf,,,
Einwellenzerkleinerer,ASG,DS-600,34,kW,500,kg/h,0.024888,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Zerkleinern,Einwellenschredder,,,https://www.plasticrecyclingmachine.net/single-shaft-plastic-shredder-machines/,,,
Einwellenzerkleinerer,ASG,DS-800,49,kW,700,kg/h,0.02562,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Zerkleinern,Einwellenschredder,,,https://www.plasticrecyclingmachine.net/single-shaft-plastic-shredder-machines/,,,
Einwellenzerkleinerer,ASG,DS-1000,79.5,kW,1000,kg/h,0.029097,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Zerkleinern,Einwellenschredder,,,https://www.plasticrecyclingmachine.net/single-shaft-plastic-shredder-machines/,,,
Einwellenzerkleinerer,ASG,DS-1200,95.5,kW,1750,kg/h,0.01997314286,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Zerkleinern,Einwellenschredder,,,https://www.plasticrecyclingmachine.net/single-shaft-plastic-shredder-machines/,,,
Zweiwellenzerkleinerer,ASG,SSJ400-800,44,kW,1500,kg/h,0.010736,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Zerkleinern,Zweiwellenschredder,,,https://www.plasticrecyclingmachine.net/double-shaft-plastic-shredder-machines/,,,
Zweiwellenzerkleinerer,ASG,SSJ400-1200,60,kW,2500,kg/h,0.008784,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Zerkleinern,Zweiwellenschredder,,,https://www.plasticrecyclingmachine.net/double-shaft-plastic-shredder-machines/,,,
Zweiwellenzerkleinerer,ASG,SSJ450-800,60,kW,3000,kg/h,0.00732,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Zerkleinern,Zweiwellenschredder,,,https://www.plasticrecyclingmachine.net/double-shaft-plastic-shredder-machines/,,,
Zweiwellenzerkleinerer,ASG,SSJ 450-1200,90,kW,4000,kg/h,0.008235,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Zerkleinern,Zweiwellenschredder,,,https://www.plasticrecyclingmachine.net/double-shaft-plastic-shredder-machines/,,,
Zweiwellenzerkleinerer für Fässer und Behälter,ASG,SSJD800,60,kW,1000,kg/h,0.02196,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Zerkleinern,Zweiwellenschredder,"PP, PE",,https://www.plasticrecyclingmachine.net/double-shaft-plastic-shredder-for-pp-pe-drums-containers/,,,
Zweiwellenzerkleinerer für Fässer und Behälter,ASG,SSJD1000,74,kW,1500,kg/h,0.018056,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Zerkleinern,Zweiwellenschredder,"PP, PE",,https://www.plasticrecyclingmachine.net/double-shaft-plastic-shredder-for-pp-pe-drums-containers/,,,
Zweiwellenzerkleinerer für Fässer und Behälter,ASG,SSJD1200,90,kW,2000,kg/h,0.01647,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Zerkleinern,Zweiwellenschredder,"PP, PE",,https://www.plasticrecyclingmachine.net/double-shaft-plastic-shredder-for-pp-pe-drums-containers/,,,
Zweiwellenzerkleinerer für Fässer und Behälter,ASG,SSJD1400,110,kW,2500,kg/h,0.016104,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Zerkleinern,Zweiwellenschredder,"PP, PE",,https://www.plasticrecyclingmachine.net/double-shaft-plastic-shredder-for-pp-pe-drums-containers/,,,
Einwellenzerkleinerer (11 kW),ZERMA,ZERMA ZBS,11,kW,,kg/h,#DIV/0!,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Zerkleinern,Einwellenschredder,,!Durchsatzleistung fehlt!,https://www.amis.de/maschine/einwellen-shredder-einwellen-zerkleinerer-zerma-zbs/,,,
"Einwellenzerkleinerer (18,5 kW)",ZERMA,ZERMA ZBS,18.5,kW,,kg/h,#DIV/0!,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Zerkleinern,Einwellenschredder,,!Durchsatzleistung fehlt!,https://www.amis.de/maschine/einwellen-shredder-einwellen-zerkleinerer-zerma-zbs/,,,
Einwellenzerkleinerer (22 kW),LINDNER,LINDNER TYP VEGA 1100 SN,22,kW,,kg/h,#DIV/0!,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Zerkleinern,Einwellenschredder,,!Durchsatzleistung fehlt!,https://www.amis.de/maschine/einwellen-shredder-lindner-typ-vega-1100-sn/,,,
Einwellenzerkleinerer (30 kW),ZERMA,ZERMA ZHS,30,kW,,kg/h,#DIV/0!,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Zerkleinern,Einwellenschredder,,!Durchsatzleistung fehlt!,https://www.amis.de/maschine/einwellen-shredder-einwellen-zerkleinerer-zerma-zhs/,,,
Einwellenzerkleinerer (37 kW),LINDNER,LINDNER T1500,37,kW,,kg/h,#DIV/0!,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Zerkleinern,Einwellenschredder,,!Durchsatzleistung fehlt!,https://www.amis.de/maschine/einwellen-shredder-einwellen-zerkleinerer-lindner-t1500/,,,
Einwellenzerkleinerer (45 kW),ZERMA,ZERMA ZCS,45,kW,,kg/h,#DIV/0!,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Zerkleinern,Einwellenschredder,,!Durchsatzleistung fehlt!,https://www.amis.de/maschine/einwellen-shredder-einwellen-zerkleinerer-zerma-zcs/,,,
Einwellenzerkleinerer (55 kW),ZERMA,ZERMA ZHS,55,kW,,kg/h,#DIV/0!,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Zerkleinern,Einwellenschredder,,!Durchsatzleistung fehlt!,https://www.amis.de/maschine/einwellen-shredder-einwellen-zerkleinerer-zerma-zhs/,,,
